date,total_deaths,deaths_day,cases
2020-02-25,0,0,1
2020-02-26,0,0,1
2020-02-27,0,0,1
2020-02-28,0,0,1
2020-02-29,0,0,2
2020-03-01,0,0,2
2020-03-02,0,0,2
2020-03-03,0,0,2
2020-03-04,0,0,3
2020-03-05,0,0,8
2020-03-06,0,0,13
2020-03-07,0,0,19
2020-03-08,0,0,25
2020-03-09,0,0,25
2020-03-10,0,0,34
2020-03-11,0,0,52
2020-03-12,0,0,77
2020-03-13,0,0,151
2020-03-14,0,0,151
2020-03-15,0,0,200
2020-03-16,0,0,234
2020-03-17,1,10,346
2020-03-18,4,30,529
2020-03-19,7,30,640
2020-03-20,11,40,970
2020-03-21,18,70,1178
2020-03-22,25,70,1546
2020-03-23,34,90,1924
2020-03-24,46,120,2247
2020-03-25,59,130,2554
2020-03-26,77,180,2985
2020-03-27,92,150,3417
2020-03-28,114,220,3904
2020-03-29,136,220,4256
2020-03-30,159,230,4579
2020-03-31,201,420,5717
2020-04-01,241,390,6836
2020-04-02,299,580,7910
2020-04-03,359,600,9056
2020-04-04,432,730,10278
2020-04-05,486,540,11130
2020-04-06,553,670,12056
2020-04-07,667,1140,13717
2020-04-08,800,1330,15927
2020-04-09,941,1410,17857
2020-04-10,1057,1160,19638
2020-04-11,1124,670,20727
2020-04-12,1223,990,22169
2020-04-13,1328,1050,23430
2020-04-14,1532,2040,25262
2020-04-15,1736,2040,28320
2020-04-16,1924,1880,30425
2020-04-17,2141,2170,33682
2020-04-18,2347,2110,36599
2020-04-19,2462,1150,38654
2020-04-20,2575,1130,40581
2020-04-21,2741,1660,43079
2020-04-22,2906,1650,45757
2020-04-23,3313,4070,49492
2020-04-24,3670,3570,52995
2020-04-25,4016,3460,58509
2020-04-26,4205,1890,61888
2020-04-27,4543,3380,66501
2020-04-28,5017,4740,71886
2020-04-29,5466,4490,78162
2020-04-30,5901,4350,85380
2020-05-01,6329,4280,91589
2020-05-02,6750,4210,96559
2020-05-03,7025,2750,101147
2020-05-04,7321,2960,107780
2020-05-05,7921,6000,114715
2020-05-06,8536,6150,125218
2020-05-07,9146,6100,135106
2020-05-08,9897,7510,145328
2020-05-09,10627,7300,155939
2020-05-10,11123,4960,162699
2020-05-11,11519,3960,168331
2020-05-12,12400,8810,177589
2020-05-13,13149,7490,188947
2020-05-14,13993,8440,202918
2020-05-15,14817,8240,218223
2020-05-16,15633,8160,233142
2020-05-17,16118,4850,241080
2020-05-18,16792,6740,254220
2020-05-19,17971,1179,271628
2020-05-20,18859,8880,291579
2020-05-21,20047,1188,310087
2020-05-22,21048,1001,330890
2020-05-23,22013,9650,347398
2020-05-24,22666,6530,363211
2020-05-25,23473,8070,374898
2020-05-26,24512,1039,391222
2020-05-27,25598,1086,411821
2020-05-28,26754,1156,438238
2020-05-29,27878,1124,465166
2020-05-30,28834,9560,498440
2020-05-31,29314,4800,514849
2020-06-01,29937,6230,526447
2020-06-02,31199,1262,555383
2020-06-03,32548,1349,584016
2020-06-04,34021,1473,614941
2020-06-05,35026,1005,645771
2020-06-06,35930,9040,672846
2020-06-07,36455,5250,691758
2020-06-08,37134,6790,707412
2020-06-09,38406,1272,739503
2020-06-10,39680,1274,772416
2020-06-11,40412,1239,802828
2020-06-12,41828,9090,828810
2020-06-13,42720,8920,850514
2020-06-14,43332,6120,867624
2020-06-15,43959,6270,888271
2020-06-16,45241,1282,923189
2020-06-17,46510,1269,955377
2020-06-18,47748,1238,978142
2020-06-19,48954,1206,1032913
2020-06-20,49976,1022,1067579
2020-06-21,50617,6410,1085038
2020-06-22,51271,6630,1106470
2020-06-23,52645,1374,1145906
2020-06-24,53830,1185,1188631
2020-06-25,54971,1141,1228114
2020-06-26,55961,9900,1274974
2020-06-27,57070,1109,1313667
2020-06-28,57622,5520,1344143
2020-06-29,58314,6920,1368195
2020-06-30,59594,128,1402041
2020-07-01,60632,1038,1448753
2020-07-02,61884,1252,1496858
2020-07-03,63174,129,1539081
2020-07-04,64265,1091,1577004
2020-07-05,64867,6020,1603055
2020-07-06,65487,6200,1623284
2020-07-07,66741,1254,1688589
2020-07-08,67964,1223,1713160
2020-07-09,69184,122,1755779
2020-07-10,70398,1214,1800827
2020-07-11,71469,1071,1839850
2020-07-12,72100,6310,1864681
2020-07-13,72833,7330,1884967
2020-07-14,74133,13,1926824
2020-07-15,75366,1233,1966748
2020-07-16,76688,1322,2012151
2020-07-17,77851,1163,2046328
2020-07-18,78772,9120,2074860
2020-07-19,79488,7160,2098389
2020-07-20,80120,6320,2118646
2020-07-21,81487,1367,2159654
2020-07-22,82771,1284,2227514
2020-07-23,84082,1311,2287475
2020-07-24,85238,1156,2343366
2020-07-25,86449,1211,2394513
2020-07-26,87004,5550,2419091
2020-07-27,87618,6140,2442375
2020-07-28,88470,8520,2480888
2020-07-29,90134,1664,2553265
2020-07-30,91263,1129,2610102
2020-07-31,92475,1212,2662485
2020-08-01,93563,1088,2707877
2020-08-02,94104,5410,2733677
2020-08-03,94660,5560,2750153
2020-08-04,95819,1159,2801921
2020-08-05,97288,1469,2858872
2020-08-06,98493,1205,2912212
2020-08-07,99572,1079,2962442
2020-08-08,100477,9050,3012412
2020-08-09,101049,5720,3035422
2020-08-10,101752,7030,3057470
2020-08-11,103026,1274,3109630
2020-08-12,104201,1175,3164785
2020-08-13,105463,1262,3224876
2020-08-14,106523,106,3275520
2020-08-15,107232,7090,3317096
2020-08-16,107852,6200,3340197
2020-08-17,108536,6840,3359570
2020-08-18,109888,1352,3407354
2020-08-19,111100,1212,3456652
2020-08-20,112304,1204,3501975
2020-08-21,113358,1054,3532330
2020-08-22,114250,8920,3582362
2020-08-23,114744,4940,3605783
2020-08-24,115309,5650,3622861
2020-08-25,116580,1271,3669995
2020-08-26,117665,1085,3717156
2020-08-27,118649,9840,3761391
2020-08-28,119571,9220,3812605
2020-08-29,120452,8810,3844807
2020-08-30,120828,3760,3862311
2020-08-31,121381,5530,3908272
2020-09-01,122596,1215,3950931
2020-09-02,123780,1184,3997865
2020-09-03,124651,8710,4040163
2020-09-04,125502,8510,4091801
2020-09-05,126069,5670,4113969
2020-09-06,126640,5810,4136509
2020-09-07,126960,3200,4147794
2020-09-08,127464,5040,4162073
2020-09-09,128539,1075,4197889
2020-09-10,129522,9830,4238446
2020-09-11,130396,8740,4282164
2020-09-12,131210,8140,4315687
2020-09-13,131625,4150,4330455
2020-09-14,132006,3810,4345610
2020-09-15,133119,1113,4382263
2020-09-16,134106,9870,4419083
2020-09-17,134935,8290,4455386
2020-09-18,135793,8580,4495183
2020-09-19,136532,7390,4528240
2020-09-20,136895,3630,4544629
2020-09-21,137272,3770,4558068
2020-09-22,138108,8360,4591604
2020-09-23,138977,8690,4624885
2020-09-24,139808,8310,4657702
2020-09-25,140537,7290,4689613
2020-09-26,141406,8690,4717991
2020-09-27,141741,3350,4732309
2020-09-28,142058,3170,4745464
2020-09-29,142921,8630,4777522
2020-09-30,143952,1031,4810935
2020-10-01,144680,7180,4847092
2020-10-02,145388,7080,4880523
2020-10-03,145985,5970,4906760
2020-10-04,146352,3670,4915289
2020-10-05,146675,3230,4927235
2020-10-06,147494,8190,4969141
2020-10-07,148228,7340,5000694
2020-10-08,148957,7290,5028444
2020-10-09,149639,6820,5055888
2020-10-10,150198,5590,5082637
2020-10-11,150488,2900,5094979
2020-10-12,150689,2010,5103408
2020-10-13,150998,3090,5113628
2020-10-14,151747,7490,5140863
2020-10-15,152460,7130,5169386
2020-10-16,153214,7540,5200300
2020-10-17,153675,4610,5224362
2020-10-18,153905,2300,5235344
2020-10-19,154176,2710,5250727
2020-10-20,154837,6610,5273954
2020-10-21,155402,5650,5298772
2020-10-22,155900,4980,5332634
2020-10-23,156469,5690,5352935
2020-10-24,156903,4340,5380635
2020-10-25,157134,2310,5394128
2020-10-26,157397,2630,5409854
2020-10-27,157946,5490,5439641
2020-10-28,158456,5100,5468270
2020-10-29,158969,5130,5494376
2020-10-30,159477,5080,5516658
2020-10-31,159883,4060,5535460
2020-11-01,160074,1910,5545705
2020-11-02,160253,1790,5554206
2020-11-03,160496,2430,5566049
2020-11-04,161106,6100,5590025
2020-11-05,161736,6300,5612319
2020-11-06,162015,2790,5631181
2020-11-07,162269,2540,5653561
2020-11-08,162369,1280,5664115
