date,total_deaths,deaths_day,cases
2020-02-15,1665,142,68500
2020-02-16,1770,105,70548
2020-02-17,1868,98,72436
2020-02-18,2004,136,74185
2020-02-19,2118,114,74576
2020-02-20,2236,118,75465
2020-02-21,2345,109,76288
2020-02-22,2442,97,76936
2020-02-23,2592,150,77150
2020-02-24,2663,71,77658
2020-02-25,2715,52,78064
2020-02-26,2744,29,78497
2020-02-27,2788,44,78824
2020-02-28,2835,47,79251
2020-02-29,2870,35,79824
2020-03-01,2912,42,80026
2020-03-02,2943,31,80151
2020-03-03,2981,38,80270
2020-03-04,3012,31,80409
2020-03-05,3042,30,80552
2020-03-06,3070,28,80651
2020-03-07,3097,27,80695
2020-03-08,3119,22,80735
2020-03-09,3136,17,80754
2020-03-10,3158,22,80778
2020-03-11,3169,11,80793
2020-03-12,3176,7,80813
2020-03-13,3189,13,80824
2020-03-14,3199,10,80844
2020-03-15,3213,14,80860
2020-03-16,3226,13,80881
2020-03-17,3237,11,80894
2020-03-18,3245,8,80928
2020-03-19,3248,3,80967
2020-03-20,3255,7,81008
2020-03-21,3261,6,81054
2020-03-22,3270,9,81093
2020-03-23,3277,7,81171
2020-03-24,3281,4,81218
2020-03-25,3287,6,81285
2020-03-26,3292,5,81340
2020-03-27,3295,3,81394
2020-03-28,3300,5,81439
2020-03-29,3300,0,81439
2020-03-30,3305,5,81470
2020-03-31,3312,7,81554
2020-04-01,3312,0,81554
2020-04-02,3322,10,81620
2020-04-03,3326,4,81639
2020-04-04,3329,3,81669
2020-04-05,3331,2,81708
2020-04-06,3331,0,81740
2020-04-07,3333,2,81802
2020-04-08,3335,2,81865
2020-04-09,3336,1,81907
2020-04-10,3339,3,81953
2020-04-11,3339,3,82052
2020-04-12,3341,2,82160
2020-04-13,3341,0,82249
2020-04-14,3341,0,82295
2020-04-15,3342,1,82341
2020-04-16,3342,0,82367
2020-04-17,4632,1290,82692
2020-04-18,4632,0,82719
2020-04-19,4632,0,82735
2020-04-20,4632,0,82747
2020-04-21,4632,0,82758
2020-04-22,4632,0,82788
2020-04-23,4632,0,82798
2020-04-24,4632,0,82804
2020-04-25,4632,0,82816
2020-04-26,4632,0,82827
2020-04-27,4633,1,82830
2020-04-28,4633,0,82836
2020-04-29,4633,0,82858
2020-04-30,4633,0,82862
2020-05-01,4633,0,82874
2020-05-02,4633,0,82875
2020-05-03,4633,0,82877
2020-05-04,4633,0,82880
2020-05-05,4633,0,82881
2020-05-06,4633,0,82883
2020-05-07,4633,0,82885
2020-05-08,4633,0,82886
2020-05-09,4633,0,82887
2020-05-10,4633,0,82901
2020-05-11,4633,0,82918
2020-05-12,4633,0,82919
2020-05-13,4633,0,82926
2020-05-14,4633,0,82929
2020-05-15,4633,0,82933
2020-05-16,4633,0,82941
2020-05-17,4634,1,82947
2020-05-18,4634,0,82954
2020-05-19,4634,0,82960
2020-05-20,4634,0,82965
2020-05-21,4634,0,82967
2020-05-22,4634,0,82971
2020-05-23,4634,0,82971
2020-05-24,4634,0,82974
2020-05-25,4634,0,82985
2020-05-26,4634,0,82992
2020-05-27,4634,0,82993
2020-05-28,4634,0,82995
2020-05-29,4634,0,82995
2020-05-30,4634,0,82999
2020-05-31,4634,0,83001
2020-06-01,4634,0,83017
2020-06-02,4634,0,83021
2020-06-03,4634,0,83021
2020-06-04,4634,0,83022
2020-06-05,4634,0,83027
2020-06-06,4634,0,83030
2020-06-07,4634,0,83036
2020-06-08,4634,0,83040
2020-06-09,4634,0,83043
2020-06-10,4634,0,83046
2020-06-11,4634,0,83057
2020-06-12,4634,0,83064
2020-06-13,4634,0,83075
2020-06-14,4634,0,83132
2020-06-15,4634,0,83181
2020-06-16,4634,0,83221
2020-06-17,4634,0,83265
2020-06-18,4634,0,83293
2020-06-19,4634,0,83325
2020-06-20,4634,0,83352
2020-06-21,4634,0,83378
2020-06-22,4634,0,83396
2020-06-23,4634,0,83418
2020-06-24,4634,0,83430
2020-06-25,4634,0,83449
2020-06-26,4634,0,83462
2020-06-27,4634,0,83483
2020-06-28,4634,0,83500
2020-06-29,4634,0,83512
2020-06-30,4634,0,83531
2020-07-01,4634,0,83534
2020-07-02,4634,0,83537
2020-07-03,4634,0,83542
2020-07-04,4634,0,83545
2020-07-05,6634,0,83553
2020-07-06,4634,0,83557
2020-07-07,4634,0,83565
2020-07-08,4634,0,83572
2020-07-09,4634,0,83581
2020-07-10,4634,0,83585
2020-07-11,4634,0,83587
2020-07-12,4634,0,83594
2020-07-13,4634,0,83602
2020-07-14,4634,0,83605
2020-07-15,4634,0,83611
2020-07-16,4634,0,83612
2020-07-17,4634,0,83622
2020-07-18,4634,0,83644
2020-07-19,4634,0,83660
2020-07-20,4634,0,83682
2020-07-21,4634,0,83693
2020-07-22,4634,0,83707
2020-07-23,4634,0,83729
2020-07-24,4634,0,83750
2020-07-25,4634,0,83784
2020-07-26,4634,0,83830
2020-07-27,4634,0,83891
2020-07-28,4634,0,83959
2020-07-29,4634,0,84060
2020-07-30,4634,0,84165
2020-07-31,4634,0,84292
