date,total_deaths,deaths_day,cases
2020-02-15,0,0,15
2020-02-16,0,0,15
2020-02-17,0,0,15
2020-02-18,0,0,15
2020-02-19,0,0,15
2020-02-20,0,0,15
2020-02-21,0,0,35
2020-02-22,0,0,35
2020-02-23,0,0,35
2020-02-24,0,0,53
2020-02-25,0,0,57
2020-02-26,0,0,60
2020-02-27,0,0,60
2020-02-28,0,0,63
2020-02-29,1,1,68
2020-03-01,1,0,75
2020-03-02,6,5,100
2020-03-03,9,3,124
2020-03-04,11,2,158
2020-03-05,12,1,221
2020-03-06,15,3,319
2020-03-07,19,4,435
2020-03-08,22,3,541
2020-03-09,26,4,704
2020-03-10,30,4,994
2020-03-11,38,8,1301
2020-03-12,41,3,1630
2020-03-13,48,7,2183
2020-03-14,57,9,2770
2020-03-15,69,12,3613
2020-03-16,87,18,4596
2020-03-17,110,23,6344
2020-03-18,150,40,9197
2020-03-19,206,56,13779
2020-03-20,255,49,19367
2020-03-21,301,46,24192
2020-03-22,414,113,33592
2020-03-23,555,141,43781
2020-03-24,780,225,54856
2020-03-25,1027,247,68211
2020-03-26,1295,268,85435
2020-03-27,1695,400,104126
2020-03-28,2220,525,123578
2020-03-29,2582,362,143491
2020-03-30,3141,558,163788
2020-03-31,4053,912,188530
2020-04-01,5102,1049,215003
2020-04-02,6076,974,244877
2020-04-03,7121,1045,277161
2020-04-04,8451,1330,311357
2020-04-05,9616,1165,336673
2020-04-06,10871,1255,367004
2020-04-07,12841,1970,400335
2020-04-08,14788,1940,434927
2020-04-09,16712,1901,469124
2020-04-10,18747,2035,502876
2020-04-11,20577,1830,532879
2020-04-12,22105,1528,560300
2020-04-13,23640,1535,586941
2020-04-14,26047,2407,617661
2020-04-15,32443,2618,648003
2020-04-16,34617,2174,677570
2020-04-17,37154,2535,709735
2020-04-18,39014,1867,738601
2020-04-19,40575,1561,764671
2020-04-20,42514,1939,792759
2020-04-21,45318,2804,818744
2020-04-22,47659,2341,848717
2020-04-23,50236,2342,886442
2020-04-24,52191,1957,925232
2020-04-25,54256,2065,960651
2020-04-26,55413,1157,987160
2020-04-27,56797,1384,1010356
2020-04-28,59266,2470,1035765
2020-04-29,61655,2390,1064194
2020-04-30,63856,2201,1095023
2020-05-01,65753,1897,1131030
2020-05-02,67444,1691,1160774
2020-05-03,68598,1154,1188122
2020-05-04,69921,1324,1212835
2020-05-05,72271,2350,1237633
2020-05-06,74799,2528,1263092
2020-05-07,76928,2129,1292623
2020-05-08,78615,1687,1321785
2020-05-09,80037,1422,1347309
2020-05-10,80787,750,1367638
2020-05-11,81795,1008,1385834
2020-05-12,83425,1630,1408636
2020-05-13,85197,1772,1430348
2020-05-14,87293,1753,1457593
2020-05-15,88895,1602,1484285
2020-05-16,90113,1218,1507773
2020-05-17,90978,865,1527664
2020-05-18,91981,1003,1550294
2020-05-19,93533,1552,1570583
2020-05-20,94936,1403,1592723
2020-05-21,96354,1418,1620897
2020-05-22,97647,1293,1644899
2020-05-23,98683,1036,1666828
2020-05-24,99300,617,1686436
2020-05-25,99805,505,1706226
2020-05-26,100572,774,1725275
2020-05-27,102107,1535,1745803
2020-05-28,103330,1223,1768461
2020-05-29,104542,1212,1793530
2020-05-30,105557,1015,1816820
2020-05-31,106195,638,1837170
2020-06-01,106925,730,1859323
2020-06-02,108059,1134,1881205
2020-06-03,109142,1083,1901783
2020-06-04,110415,1032,1940315
2020-06-05,111390,975,1965708
2020-06-06,112096,706,1988544
2020-06-07,112469,373,2007449
2020-06-08,113055,586,2026493
2020-06-09,114148,1093,2045549
2020-06-10,115130,982,2066401
2020-06-11,116034,904,2089701
2020-06-12,116825,791,2116922
2020-06-13,117527,702,2142224
2020-06-14,117858,331,2162228
2020-06-15,118283,425,2182950
2020-06-16,119132,849,2208400
2020-06-17,119941,809,2234471
2020-06-18,120688,747,2263651
2020-06-19,121407,719,2297190
2020-06-20,121980,573,2330578
2020-06-21,122247,267,2356657
2020-06-22,122610,363,2388153
2020-06-23,123473,863,2424168
2020-06-24,124281,808,2462554
2020-06-25,126780,649,2504588
2020-06-26,127640,663,2552956
2020-06-27,128152,512,2596537
2020-06-28,128437,285,2637077
2020-06-29,129399,366,2681811
2020-06-30,130122,764,2727853
2020-07-01,130798,676,2779953
2020-07-02,131485,687,2835684
2020-07-03,132064,616,2893216
2020-07-04,132318,254,2938398
2020-07-05,132569,251,2982928
2020-07-06,132979,378,3040192
2020-07-07,133972,993,3097084
2020-07-08,134862,890,3158932
2020-07-09,135822,960,3219999
2020-07-10,136671,849,3293927
2020-07-11,137402,731,3355646
2020-07-12,137782,380,3413995
2020-07-13,138247,465,3479483
2020-07-14,139143,935,3545077
2020-07-15,140144,1001,3616827
2020-07-16,141118,963,3695025
2020-07-17,142064,946,3770012
2020-07-18,142877,813,3833271
2020-07-19,143289,412,3898550
2020-07-20,143834,545,3961429
2020-07-21,144953,1119,4028569
2020-07-22,146183,1205,4100875
2020-07-23,147349,1166,4170318
2020-07-24,148490,1141,4248296
2020-07-25,149398,908,4315709
2020-07-26,149848,450,4371839
2020-07-27,151025,596,4433614
2020-07-28,152291,1266,4498343
2020-07-29,153820,1465,4566416
2020-07-30,155313,1465,4634985
2020-07-31,156775,1462,4706068
2020-08-01,157898,1123,4764609
2020-08-02,158365,467,4813647
2020-08-03,158928,567,4863916
2020-08-04,160290,1362,4918420
2020-08-05,161601,1311,4973568
2020-08-06,162804,1203,5032179
2020-08-07,164094,1290,5095524
2020-08-08,165083,989,5151595
2020-08-09,165617,534,5199444
2020-08-10,166192,569,5251446
2020-08-11,167745,1504,5305957
2020-08-12,169131,1386,5360302
2020-08-13,170415,1284,5415666
2020-08-14,171535,1120,5476266
2020-08-15,172606,1071,5529789
2020-08-16,173127,521,5566632
2020-08-17,173716,589,5611975
2020-08-18,175074,1358,5655974
2020-08-19,176334,1260,5700931
2020-08-20,178056,1098,5746272
2020-08-21,179200,1144,5797599
2020-08-22,180174,974,5841428
2020-08-23,180604,430,5874146
2020-08-24,181114,510,5915630
2020-08-25,182404,1290,5955728
2020-08-26,183653,1289,6000365
2020-08-27,184796,1143,6046634
2020-08-28,185901,1105,6096541
2020-08-29,186855,954,6139370
2020-08-30,187224,369,6173236
2020-08-31,187736,512,6215592
2020-09-01,188900,1164,6257571
2020-09-02,189964,1090,6290737
2020-09-03,191058,1094,6335244
2020-09-04,192111,1053,6387048
