date,total_deaths,deaths_day,cases
2020-02-15,0,0,3
2020-02-16,0,0,3
2020-02-17,0,0,3
2020-02-18,0,0,3
2020-02-19,0,0,3
2020-02-20,0,0,4
2020-02-21,1,1,21
2020-02-22,2,1,79
2020-02-23,3,1,157
2020-02-24,7,4,229
2020-02-25,11,4,323
2020-02-26,12,1,470
2020-02-27,17,5,655
2020-02-28,21,4,889
2020-02-29,29,8,1128
2020-03-01,41,12,1701
2020-03-02,52,9,2036
2020-03-03,79,27,2502
2020-03-04,107,28,3089
2020-03-05,148,41,3858
2020-03-06,197,49,4636
2020-03-07,233,36,5883
2020-03-08,366,133,7375
2020-03-09,463,97,9172
2020-03-10,631,168,10149
2020-03-11,827,196,12462
2020-03-12,1016,189,15113
2020-03-13,1266,250,17660
2020-03-14,1441,175,21157
2020-03-15,1809,368,24747
2020-03-16,2158,349,27980
2020-03-17,2503,345,31506
2020-03-18,2978,475,35713
2020-03-19,3405,427,41035
2020-03-20,4032,627,47021
2020-03-21,4825,793,53578
2020-03-22,5476,651,59138
2020-03-23,6077,601,63927
2020-03-24,6820,743,69176
2020-03-25,7503,683,74386
2020-03-26,8215,712,80589
2020-03-27,9134,919,86498
2020-03-28,10023,889,92472
2020-03-29,10779,756,97689
2020-03-30,11591,812,101739
2020-03-31,12428,837,105792
2020-04-01,13155,727,110574
2020-04-02,13915,760,115242
2020-04-03,14681,766,119681
2020-04-04,15362,681,124632
2020-04-05,15887,525,128948
2020-04-06,16523,636,132547
2020-04-07,17127,604,135586
2020-04-08,17669,542,139422
2020-04-09,18279,610,143626
2020-04-10,18849,570,147577
2020-04-11,19468,619,152271
2020-04-12,19899,431,156363
2020-04-13,20465,566,159516
2020-04-14,21067,602,162488
2020-04-15,21645,578,165155
2020-04-16,22170,525,168941
2020-04-17,22745,575,172434
2020-04-18,23227,482,175925
2020-04-19,23660,433,178972
2020-04-20,24114,454,181228
2020-04-21,24648,534,183957
2020-04-22,25085,437,187327
2020-04-23,25549,464,189973
2020-04-24,25969,420,192994
2020-04-25,26384,460,195351
2020-04-26,26644,215,197675
2020-04-27,26977,333,199414
2020-04-28,27359,382,201505
2020-04-29,27682,323,203591
2020-04-30,27967,285,205463
2020-05-01,28236,269,207428
2020-05-02,28710,474,209328
2020-05-03,28884,174,210717
2020-05-04,29079,195,211938
2020-05-05,29315,236,213013
2020-05-06,29684,369,214457
2020-05-07,29958,274,215858
2020-05-08,30201,243,217185
2020-05-09,30395,194,218268
2020-05-10,30560,165,219070
2020-05-11,30739,179,219814
2020-05-12,30911,172,221216
2020-05-13,31106,195,222104
2020-05-14,31368,262,223096
2020-05-15,31610,242,223885
2020-05-16,31763,153,224760
2020-05-17,31908,145,225435
2020-05-18,32007,99,225886
2020-05-19,32169,162,226699
2020-05-20,32330,161,227364
2020-05-21,32486,156,228006
2020-05-22,32616,130,228658
2020-05-23,32735,119,229327
2020-05-24,32785,50,229858
2020-05-25,32877,92,230158
2020-05-26,32955,78,230555
2020-05-27,33072,117,231139
2020-05-28,33142,70,231732
2020-05-29,33229,87,232248
2020-05-30,33340,111,232664
2020-05-31,33415,75,232997
2020-06-01,33475,60,233197
2020-06-02,33530,55,233515
2020-06-03,33601,71,233836
2020-06-04,33689,88,234013
2020-06-05,33774,85,234531
2020-06-06,33846,72,234801
2020-06-07,33899,53,234998
2020-06-08,33964,65,235278
2020-06-09,34043,79,235561
2020-06-10,34114,71,235763
2020-06-11,34167,53,236142
2020-06-12,34223,56,236305
2020-06-13,34301,78,236651
2020-06-14,34345,44,236989
2020-06-15,34371,26,237290
2020-06-16,34405,34,237500
2020-06-17,34448,43,237828
2020-06-18,34514,66,238159
2020-06-19,34561,47,238011
2020-06-20,34610,49,238275
